created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-19 02:01:53 +08,106,27.02,80.41,,,,
2021-08-19 02:02:55 +08,107,27.00,80.33,,,,
2021-08-19 02:03:56 +08,108,27.00,80.46,,,,
2021-08-19 02:04:58 +08,109,27.00,80.46,,,,
2021-08-19 02:06:00 +08,110,26.99,80.50,,,,
2021-08-19 02:07:02 +08,111,26.96,80.59,,,,
2021-08-19 02:08:04 +08,112,26.97,80.46,,,,
2021-08-19 02:09:06 +08,113,26.96,80.51,,,,
2021-08-19 02:10:07 +08,114,26.94,80.58,,,,
2021-08-19 02:11:09 +08,115,26.93,80.61,,,,
2021-08-19 02:12:11 +08,116,26.94,80.61,,,,
2021-08-19 02:13:13 +08,117,26.92,80.72,,,,
2021-08-19 02:14:15 +08,118,26.93,80.67,,,,
2021-08-19 02:15:17 +08,119,26.90,80.80,,,,
2021-08-19 02:16:18 +08,120,26.91,80.69,,,,
2021-08-19 02:17:20 +08,121,26.92,80.62,,,,
2021-08-19 02:18:22 +08,122,26.92,80.68,,,,
2021-08-19 02:19:24 +08,123,26.92,80.60,,,,
2021-08-19 02:20:26 +08,124,26.90,80.60,,,,
2021-08-19 02:21:28 +08,125,26.90,80.69,,,,
2021-08-19 02:22:29 +08,126,26.90,80.70,,,,
2021-08-19 02:23:31 +08,127,26.87,80.79,,,,
2021-08-19 02:24:33 +08,128,26.88,80.65,,,,
2021-08-19 02:25:35 +08,129,26.86,80.81,,,,
2021-08-19 02:26:37 +08,130,26.83,80.91,,,,
2021-08-19 02:27:39 +08,131,26.83,80.84,,,,
2021-08-19 02:28:40 +08,132,26.86,80.81,,,,
2021-08-19 02:29:42 +08,133,26.84,80.80,,,,
2021-08-19 02:30:44 +08,134,26.85,80.77,,,,
2021-08-19 02:31:46 +08,135,26.84,80.80,,,,
2021-08-19 02:32:48 +08,136,26.83,80.78,,,,
2021-08-19 02:33:50 +08,137,26.82,80.97,,,,
2021-08-19 02:34:51 +08,138,26.85,80.80,,,,
2021-08-19 02:35:53 +08,139,26.81,80.95,,,,
2021-08-19 02:36:55 +08,140,26.81,80.86,,,,
2021-08-19 02:37:57 +08,141,26.82,80.96,,,,
2021-08-19 02:38:59 +08,142,26.80,80.89,,,,
2021-08-19 02:40:00 +08,143,26.80,80.94,,,,
2021-08-19 02:41:02 +08,144,26.78,80.93,,,,
2021-08-19 02:42:04 +08,145,26.80,80.89,,,,
2021-08-19 02:43:06 +08,146,26.78,80.92,,,,
2021-08-19 02:44:08 +08,147,26.79,80.92,,,,
2021-08-19 02:45:10 +08,148,26.80,80.88,,,,
2021-08-19 02:46:11 +08,149,26.82,80.77,,,,
2021-08-19 02:47:13 +08,150,26.81,80.82,,,,
2021-08-19 02:48:15 +08,151,26.78,80.89,,,,
2021-08-19 02:49:17 +08,152,26.78,80.97,,,,
2021-08-19 02:50:19 +08,153,26.79,80.92,,,,
2021-08-19 02:51:21 +08,154,26.79,80.88,,,,
2021-08-19 02:52:23 +08,155,26.81,80.81,,,,
2021-08-19 02:53:24 +08,156,26.78,80.81,,,,
2021-08-19 02:54:26 +08,157,26.77,80.91,,,,
2021-08-19 02:55:28 +08,158,26.75,80.95,,,,
2021-08-19 02:56:30 +08,159,26.76,80.95,,,,
2021-08-19 02:57:32 +08,160,26.74,81.06,,,,
2021-08-19 02:58:33 +08,161,26.74,81.01,,,,
2021-08-19 02:59:35 +08,162,26.74,80.92,,,,
2021-08-19 03:00:37 +08,163,26.73,81.08,,,,
2021-08-19 03:01:39 +08,164,26.71,81.12,,,,
2021-08-19 03:02:41 +08,165,26.71,81.12,,,,
2021-08-19 03:03:43 +08,166,26.69,81.16,,,,
2021-08-19 03:04:44 +08,167,26.70,81.13,,,,
2021-08-19 03:05:46 +08,168,26.68,81.21,,,,
2021-08-19 03:06:48 +08,169,26.68,81.23,,,,
2021-08-19 03:07:50 +08,170,26.68,81.21,,,,
2021-08-19 03:08:52 +08,171,26.69,81.15,,,,
2021-08-19 03:09:54 +08,172,26.67,81.17,,,,
2021-08-19 03:10:55 +08,173,26.65,81.33,,,,
2021-08-19 03:11:57 +08,174,26.67,81.19,,,,
2021-08-19 03:12:59 +08,175,26.65,81.24,,,,
2021-08-19 03:14:01 +08,176,26.67,81.22,,,,
2021-08-19 03:15:03 +08,177,26.65,81.29,,,,
2021-08-19 03:16:05 +08,178,26.65,81.27,,,,
2021-08-19 03:17:06 +08,179,26.67,81.22,,,,
2021-08-19 03:18:08 +08,180,26.66,81.20,,,,
